Continent,Country,Series,Year,Unit,Value
Oceania,Australia,"Vineyard surface area",2017,ha,144785
America,Brazil,"Vineyard surface area",2017,ha,83880
America,Canada,"Vineyard surface area",2017,ha,12517
America,Chile,"Vineyard surface area",2017,ha,213452
Asia,China,"Vineyard surface area",2017,ha,865000
Europe,France,"Vineyard surface area",2017,ha,787691
Europe,Greece,"Vineyard surface area",2017,ha,105732
Europe,Italy,"Vineyard surface area",2017,ha,696149
Oceania,"New Zealand","Vineyard surface area",2017,ha,38644
Europe,Portugal,"Vineyard surface area",2017,ha,193672
Africa,"South Africa","Vineyard surface area",2017,ha,127554
Europe,Spain,"Vineyard surface area",2017,ha,968100
Europe,"United Kingdom","Vineyard surface area",2017,ha,391
America,"United States of America","Vineyard surface area",2017,ha,435300
