Continent,Country,Series,Year,Unit,Value
Africa,Africa,"Wine production",1995,"1000 hL",9513
Africa,Africa,"Wine production",1996,"1000 hL",9487
Africa,Africa,"Wine production",1997,"1000 hL",9362
Africa,Africa,"Wine production",1998,"1000 hL",8861
Africa,Africa,"Wine production",1999,"1000 hL",9504
Africa,Africa,"Wine production",2000,"1000 hL",8227
Africa,Africa,"Wine production",2001,"1000 hL",7659
Africa,Africa,"Wine production",2002,"1000 hL",8665
Africa,Africa,"Wine production",2003,"1000 hL",10412
Africa,Africa,"Wine production",2004,"1000 hL",10979
Africa,Africa,"Wine production",2005,"1000 hL",10148
Africa,Africa,"Wine production",2006,"1000 hL",11399
Africa,Africa,"Wine production",2007,"1000 hL",11115
Africa,Africa,"Wine production",2008,"1000 hL",11555
Africa,Africa,"Wine production",2009,"1000 hL",11349
Africa,Africa,"Wine production",2010,"1000 hL",10514
Africa,Africa,"Wine production",2011,"1000 hL",10930
Africa,Africa,"Wine production",2012,"1000 hL",11849
Africa,Africa,"Wine production",2013,"1000 hL",12337
Africa,Africa,"Wine production",2014,"1000 hL",12695
Africa,Africa,"Wine production",2015,"1000 hL",12588
Africa,Africa,"Wine production",2016,"1000 hL",11933
Africa,Africa,"Wine production",2017,"1000 hL",12127
America,America,"Wine production",1995,"1000 hL",44281
America,America,"Wine production",1996,"1000 hL",40543
America,America,"Wine production",1997,"1000 hL",45910
America,America,"Wine production",1998,"1000 hL",44463
America,America,"Wine production",1999,"1000 hL",46236
America,America,"Wine production",2000,"1000 hL",47286
America,America,"Wine production",2001,"1000 hL",46780
America,America,"Wine production",2002,"1000 hL",44623
America,America,"Wine production",2003,"1000 hL",44996
America,America,"Wine production",2004,"1000 hL",48889
America,America,"Wine production",2005,"1000 hL",51551
America,America,"Wine production",2006,"1000 hL",48483
America,America,"Wine production",2007,"1000 hL",49463
America,America,"Wine production",2008,"1000 hL",49153
America,America,"Wine production",2009,"1000 hL",49148
America,America,"Wine production",2010,"1000 hL",50779
America,America,"Wine production",2011,"1000 hL",51270
America,America,"Wine production",2012,"1000 hL",51794
America,America,"Wine production",2013,"1000 hL",57578
America,America,"Wine production",2014,"1000 hL",53322
America,America,"Wine production",2015,"1000 hL",53260
America,America,"Wine production",2016,"1000 hL",47235
America,America,"Wine production",2017,"1000 hL",50841
Asia,Asia,"Wine production",1995,"1000 hL",15422
Asia,Asia,"Wine production",1996,"1000 hL",15847
Asia,Asia,"Wine production",1997,"1000 hL",18500
Asia,Asia,"Wine production",1998,"1000 hL",18280
Asia,Asia,"Wine production",1999,"1000 hL",16277
Asia,Asia,"Wine production",2000,"1000 hL",16799
Asia,Asia,"Wine production",2001,"1000 hL",17573
Asia,Asia,"Wine production",2002,"1000 hL",17344
Asia,Asia,"Wine production",2003,"1000 hL",17655
Asia,Asia,"Wine production",2004,"1000 hL",17980
Asia,Asia,"Wine production",2005,"1000 hL",17290
Asia,Asia,"Wine production",2006,"1000 hL",15422
Asia,Asia,"Wine production",2007,"1000 hL",16168
Asia,Asia,"Wine production",2008,"1000 hL",16016
Asia,Asia,"Wine production",2009,"1000 hL",16336
Asia,Asia,"Wine production",2010,"1000 hL",16694
Asia,Asia,"Wine production",2011,"1000 hL",17266
Asia,Asia,"Wine production",2012,"1000 hL",19683
Asia,Asia,"Wine production",2013,"1000 hL",17592
Asia,Asia,"Wine production",2014,"1000 hL",17607
Asia,Asia,"Wine production",2015,"1000 hL",17117
Asia,Asia,"Wine production",2016,"1000 hL",17099
Asia,Asia,"Wine production",2017,"1000 hL",15581
Europe,Europe,"Wine production",1995,"1000 hL",178869
Europe,Europe,"Wine production",1996,"1000 hL",199931
Europe,Europe,"Wine production",1997,"1000 hL",185988
Europe,Europe,"Wine production",1998,"1000 hL",182497
Europe,Europe,"Wine production",1999,"1000 hL",199814
Europe,Europe,"Wine production",2000,"1000 hL",197942
Europe,Europe,"Wine production",2001,"1000 hL",182247
Europe,Europe,"Wine production",2002,"1000 hL",173690
Europe,Europe,"Wine production",2003,"1000 hL",179847
Europe,Europe,"Wine production",2004,"1000 hL",204073
Europe,Europe,"Wine production",2005,"1000 hL",183374
Europe,Europe,"Wine production",2006,"1000 hL",191918
Europe,Europe,"Wine production",2007,"1000 hL",180231
Europe,Europe,"Wine production",2008,"1000 hL",177965
Europe,Europe,"Wine production",2009,"1000 hL",178692
Europe,Europe,"Wine production",2010,"1000 hL",171349
Europe,Europe,"Wine production",2011,"1000 hL",174513
Europe,Europe,"Wine production",2012,"1000 hL",162502
Europe,Europe,"Wine production",2013,"1000 hL",188706
Europe,Europe,"Wine production",2014,"1000 hL",171281
Europe,Europe,"Wine production",2015,"1000 hL",178013
Europe,Europe,"Wine production",2016,"1000 hL",176506
Europe,Europe,"Wine production",2017,"1000 hL",154714
Oceania,Oceania,"Wine production",1995,"1000 hL",5592
Oceania,Oceania,"Wine production",1996,"1000 hL",7307
Oceania,Oceania,"Wine production",1997,"1000 hL",6632
Oceania,Oceania,"Wine production",1998,"1000 hL",8021
Oceania,Oceania,"Wine production",1999,"1000 hL",9113
Oceania,Oceania,"Wine production",2000,"1000 hL",8665
Oceania,Oceania,"Wine production",2001,"1000 hL",11264
Oceania,Oceania,"Wine production",2002,"1000 hL",13058
Oceania,Oceania,"Wine production",2003,"1000 hL",11385
Oceania,Oceania,"Wine production",2004,"1000 hL",15871
Oceania,Oceania,"Wine production",2005,"1000 hL",15321
Oceania,Oceania,"Wine production",2006,"1000 hL",15595
Oceania,Oceania,"Wine production",2007,"1000 hL",11096
Oceania,Oceania,"Wine production",2008,"1000 hL",14500
Oceania,Oceania,"Wine production",2009,"1000 hL",13834
Oceania,Oceania,"Wine production",2010,"1000 hL",13320
Oceania,Oceania,"Wine production",2011,"1000 hL",13530
Oceania,Oceania,"Wine production",2012,"1000 hL",14199
Oceania,Oceania,"Wine production",2013,"1000 hL",14794
Oceania,Oceania,"Wine production",2014,"1000 hL",15067
Oceania,Oceania,"Wine production",2015,"1000 hL",14259
Oceania,Oceania,"Wine production",2016,"1000 hL",16239
Oceania,Oceania,"Wine production",2017,"1000 hL",16541
